a c średnia_energia odchylenie_standardowe log10
0.4 -0.26 -0.238931 0.0786979 -1.19278
0.4 -0.24 -0.208543 0.0461388 -1.03074
0.4 -0.22 -0.453655 0.0742811 -1.13751
0.4 -0.2 -0.449358 0.0701834 -1.27746
0.4 -0.18 -0.442271 0.0693899 -1.12977
0.4 -0.16 -0.439235 0.0540914 -1.10458
0.4 -0.14 -0.418262 0.0792048 -1.19674
0.4 -0.12 -0.408712 0.0687462 -1.24118
0.4 -0.1 -0.394273 0.0653913 -1.14003
0.4 -0.08 -0.392044 0.0688302 -1.19306
0.4 -0.06 -0.368208 0.064339 -1.16995
0.4 -0.04 -0.346197 0.0556744 -1.22732
0.4 -0.02 -0.31707 0.0521227 -1.24311
0.4 3.95517e-16 -0.31017 0.0495369 -1.2834
0.4 0.02 -0.308946 0.0671955 -1.31851
0.4 0.04 -0.29916 0.0466963 -1.30501
0.4 0.06 -0.284668 0.0618975 -1.21798
0.4 0.08 -0.289504 0.0444516 -1.31402
0.4 0.1 -0.281661 0.0367434 -1.34855
0.4 0.12 -0.272739 0.0532988 -1.36074
0.4 0.14 -0.245898 0.0801201 -1.47344
0.4 0.16 -0.2775 0.0396606 -1.23624
0.4 0.18 -0.260779 0.0415973 -1.39187
0.4 0.2 -0.248386 0.0428661 -1.30583
0.4 0.22 -0.247981 0.0394224 -1.33754
0.4 0.24 -0.247129 0.0373278 -1.38624
0.4 0.26 -0.242434 0.0508761 -1.37905
0.4 0.28 -0.223676 0.0388526 -1.26457
0.42 -0.7 -0.131977 0.0158171 -2.39851
0.42 -0.68 -0.0880736 0.0054481 -1.83552
0.42 -0.66 -0.128877 0.00986491 -2.41224
0.42 -0.64 -0.122489 0.00536802 -2.02621
0.42 -0.62 -0.122515 0.0068905 -1.70677
0.42 -0.6 -0.0700984 0.00539631 -2.15515
0.42 -0.58 -0.122096 0.00600056 -2.15748
0.42 -0.56 -0.114529 0.00742675 -2.35239
0.42 -0.54 -0.127253 0.00272018 -2.43551
0.42 -0.52 -0.119775 0.000776499 -2.11379
0.42 -0.5 -0.12168 0.00168504 -2.58012
0.42 -0.48 -0.13123 0.00222752 -2.95545
0.42 -0.46 -0.117882 0.00214012 -2.17717
0.42 -0.44 -0.126028 0.00648122 -2.14919
0.42 -0.42 -0.133029 0.0103781 -1.76092
0.42 -0.4 -0.264572 0.00800528 -1.54217
0.42 -0.38 -0.227348 0.0018296 -1.73794
0.42 -0.36 -0.192555 0.00336635 -1.37808
0.42 -0.34 -0.400905 0.0483846 -1.42884
0.42 -0.32 -0.335373 0.0487124 -1.20924
0.42 -0.3 -0.122935 0.0576822 -1.56166
0.42 -0.28 -0.440333 0.0538175 -1.1977
0.42 -0.26 -0.456025 0.0581458 -1.26193
0.42 -0.24 -0.18866 0.0678192 -1.25139
0.42 -0.22 -0.462777 0.0608027 -1.19393
0.42 -0.2 -0.452815 0.061374 -1.20364
0.42 -0.18 -0.456597 0.0750976 -1.20289
0.42 -0.16 -0.445797 0.0631287 -1.07914
0.42 -0.14 -0.432254 0.0667499 -1.18885
0.42 -0.12 -0.411833 0.0652568 -1.20284
0.42 -0.1 -0.396809 0.0774559 -1.17739
0.42 -0.08 -0.388408 0.065703 -1.25804
0.42 -0.06 -0.364787 0.0588884 -1.23406
0.42 -0.04 -0.355192 0.0629658 -1.18007
0.42 -0.02 -0.351424 0.0480649 -1.15085
0.42 3.95517e-16 -0.320498 0.0573029 -1.23682
0.42 0.02 -0.320555 0.0762777 -1.27778
0.42 0.04 -0.307542 0.0581868 -1.22388
0.42 0.06 -0.306808 0.0645828 -1.34603
0.42 0.08 -0.297756 0.0533714 -1.29867
0.42 0.1 -0.287869 0.0665077 -1.32915
0.42 0.12 -0.280685 0.055251 -1.29702
0.42 0.14 -0.275332 0.0467537 -1.36572
0.42 0.16 -0.255277 0.0689933 -1.28493
0.42 0.18 -0.272713 0.0344522 -1.25633
0.42 0.2 -0.255223 0.030629 -1.18732
0.42 0.22 -0.252343 0.0453213 -1.08719
0.42 0.24 -0.268235 0.0477021 -1.33716
0.42 0.26 -0.257635 0.0447138 -1.19604
0.42 0.28 -0.253218 0.0410521 -1.31842
0.44 -0.7 -0.133345 0.00485993 -1.41768
0.44 -0.68 -0.137536 0.0154508 -1.57416
0.44 -0.66 -0.122304 0.013927 -1.25608
0.44 -0.64 -0.118096 0.0169239 -1.83778
0.44 -0.62 -0.0928008 0.00741558 -2.37845
0.44 -0.6 -0.13408 0.0112913 -1.89111
0.44 -0.58 -0.122048 0.00466287 -2.53398
0.44 -0.56 -0.0916427 0.00182435 -2.81987
0.44 -0.54 -0.110709 0.00177734 -2.8332
0.44 -0.52 -0.116575 0.00212939 -2.34207
0.44 -0.5 -0.122225 0.000736004 -2.78767
0.44 -0.48 -0.127179 0.00408995 -2.64836
0.44 -0.46 -0.135146 0.00183697 -2.90914
0.44 -0.44 -0.123423 0.00100813 -2.69265
0.44 -0.42 -0.142288 0.00466348 -1.7498
0.44 -0.4 -0.109914 0.023236 -1.60251
0.44 -0.38 -0.171823 0.0118092 -1.42905
0.44 -0.36 -0.216706 0.0408295 -1.84347
0.44 -0.34 -0.406159 0.00500753 -1.31815
0.44 -0.32 -0.169058 0.0271185 -1.50586
0.44 -0.3 -0.438278 0.0128637 -1.25962
0.44 -0.28 -0.361875 0.0536379 -1.28655
0.44 -0.26 -0.461856 0.0387107 -1.22895
0.44 -0.24 -0.4597 0.0678786 -1.22857
0.44 -0.22 -0.461561 0.0539456 -1.19045
0.44 -0.2 -0.45767 0.0622272 -1.30766
0.44 -0.18 -0.46073 0.0623452 -1.16224
0.44 -0.16 -0.445013 0.0586603 -1.20016
0.44 -0.14 -0.435416 0.0839898 -1.21108
0.44 -0.12 -0.424889 0.0569152 -1.24682
0.44 -0.1 -0.414794 0.065782 -1.22715
0.44 -0.08 -0.387921 0.0628674 -1.23493
0.44 -0.06 -0.393871 0.0599097 -1.09882
0.44 -0.04 -0.384134 0.0590225 -1.06176
0.44 -0.02 -0.371659 0.050264 -1.20342
0.44 3.95517e-16 -0.338979 0.0591075 -1.21302
0.44 0.02 -0.336522 0.0513129 -1.2651
0.44 0.04 -0.318931 0.0506999 -1.2754
0.44 0.06 -0.301453 0.0452515 -1.25871
0.44 0.08 -0.297694 0.0576683 -1.27522
0.44 0.1 -0.298824 0.0427785 -1.22376
0.44 0.12 -0.305724 0.0498824 -1.22797
0.44 0.14 -0.307808 0.0473538 -1.35322
0.44 0.16 -0.269884 0.0595891 -1.34575
0.44 0.18 -0.271687 0.0560724 -1.32817
0.44 0.2 -0.254023 0.0518966 -1.45023
0.44 0.22 -0.270721 0.0472223 -1.28798
0.44 0.24 -0.287455 0.0448878 -1.37882
0.44 0.26 -0.271356 0.0446137 -1.42692
0.44 0.28 -0.254501 0.0423391 -1.17417
0.46 -0.7 -0.108683 0.0125365 -1.33079
0.46 -0.68 -0.101538 0.00437048 -2.50468
0.46 -0.66 -0.137646 0.00269378 -2.26865
0.46 -0.64 -0.135434 0.0374591 -1.74618
0.46 -0.62 -0.134957 0.00987913 -2.3712
0.46 -0.6 -0.125502 0.0203276 -1.91384
0.46 -0.58 -0.123807 0.0024722 -2.01004
0.46 -0.56 -0.0194311 0.00910403 -2.39013
0.46 -0.54 -0.126539 0.00173549 -2.78521
0.46 -0.52 -0.119768 0.00307595 -3.53229
0.46 -0.5 -0.125256 0.00184295 -3.04732
0.46 -0.48 -0.133483 0.00297803 -2.7611
0.46 -0.46 -0.1344 0.00272381 -3.10043
0.46 -0.44 -0.183391 0.00969171 -2.16744
0.46 -0.42 -0.166464 0.0153735 -1.70939
0.46 -0.4 -0.196367 0.0241819 -1.99388
